id,leetcode_hours,leetcode_problems,team_size,experience,branch,gaming_hours,instagram_hours,social_skill_points,connections_among_seniors,connections_with_faculty,connections_among_juniors,have_freshman,all_freshman,gender_ratio,event_type,winner
064,,,3.0,beginner,CSE,5.0,5.0,87.0,17.0,4.0,12.0,0.0,0.0,0.67,gaming,0
065,,,1.0,intermediate,CE,5.0,0.0,23.0,5.0,6.0,17.0,1.0,1.0,0.0,hackathon,0
066,0.0,34.0,5.0,beginner,ECE,,0.0,57.0,13.0,0.0,19.0,0.0,0.0,0.8,hackathon,1
067,2.0,34.0,2.0,intermediate,ECM,0.0,0.0,,,5.0,7.0,0.0,0.0,0.5,contest,0
068,0.0,32.0,4.0,expert,PIE,7.0,7.0,34.0,13.0,6.0,17.0,0.0,0.0,1.0,dance,0
069,1.0,81.0,5.0,intermediate,ECM,7.0,7.0,68.0,12.0,6.0,17.0,0.0,0.0,1.0,contest,1
070,1.0,28.0,5.0,beginner,CSE,0.0,0.0,96.0,,7.0,22.0,0.0,0.0,0.8,gaming,0
071,3.0,48.0,1.0,beginner,ME,7.0,7.0,84.0,20.0,3.0,13.0,1.0,1.0,0.0,other,0
072,3.0,44.0,1.0,beginner,EE,0.0,7.0,45.0,15.0,0.0,21.0,1.0,1.0,0.0,gaming,1
073,0.0,47.0,2.0,beginner,CE,7.0,0.0,23.0,20.0,,7.0,1.0,0.0,0.5,other,0
074,1.0,27.0,1.0,beginner,ME,8.0,0.0,66.0,,4.0,5.0,,1.0,0.0,gaming,0
075,3.0,38.0,4.0,beginner,ECE,0.0,5.0,39.0,19.0,3.0,24.0,1.0,1.0,1.0,hackathon,0
076,0.0,63.0,2.0,intermediate,ME,0.0,0.0,18.0,8.0,3.0,12.0,1.0,0.0,0.0,singing,0
077,2.0,67.0,1.0,beginner,MM,7.0,8.0,64.0,17.0,1.0,9.0,1.0,0.0,0.0,hackathon,0
078,10.0,85.0,4.0,beginner,CSE,5.0,0.0,16.0,4.0,9.0,27.0,1.0,0.0,0.0,hackathon,0
079,3.0,59.0,4.0,intermediate,PIE,7.0,0.0,37.0,7.0,8.0,2.0,0.0,0.0,0.75,contest,0
080,6.0,49.0,1.0,expert,CSE,8.0,6.0,74.0,19.0,7.0,30.0,1.0,1.0,0.0,hackathon,1
081,0.0,32.0,3.0,beginner,CSE,8.0,0.0,4.0,4.0,1.0,3.0,1.0,1.0,0.0,other,1
082,1.0,20.0,5.0,beginner,EE,7.0,7.0,5.0,11.0,9.0,29.0,0.0,,0.6,contest,0
083,2.0,32.0,3.0,intermediate,CE,0.0,5.0,18.0,14.0,8.0,20.0,1.0,0.0,1.0,sporting,0
084,0.0,61.0,,expert,ECE,8.0,0.0,63.0,1.0,8.0,29.0,0.0,0.0,0.25,contest,0
085,1.0,82.0,4.0,beginner,ECE,8.0,7.0,70.0,18.0,1.0,0.0,1.0,1.0,0.5,hackathon,1
086,2.0,71.0,2.0,intermediate,ME,0.0,8.0,86.0,12.0,2.0,11.0,1.0,1.0,0.0,contest,1
087,8.0,19.0,2.0,expert,CSE,7.0,7.0,43.0,4.0,1.0,12.0,1.0,1.0,1.0,fun,0
088,5.0,48.0,5.0,beginner,CSE,0.0,7.0,20.0,12.0,9.0,29.0,1.0,1.0,0.6,fun,0
089,0.0,12.0,2.0,beginner,PIE,0.0,6.0,23.0,8.0,3.0,19.0,1.0,1.0,0.0,contest,0
090,1.0,36.0,1.0,intermediate,MM,7.0,8.0,65.0,4.0,7.0,5.0,0.0,0.0,1.0,hackathon,0
091,2.0,43.0,4.0,beginner,CE,0.0,0.0,48.0,3.0,2.0,25.0,0.0,0.0,0.25,contest,0
092,1.0,79.0,3.0,expert,ECE,0.0,7.0,72.0,16.0,3.0,19.0,1.0,0.0,1.0,contest,1
093,0.0,36.0,3.0,intermediate,CSE,5.0,7.0,13.0,2.0,1.0,4.0,1.0,,1.0,contest,1
094,0.0,47.0,3.0,expert,CE,8.0,0.0,46.0,16.0,4.0,1.0,1.0,1.0,0.0,hackathon,0
095,0.0,47.0,1.0,expert,PIE,0.0,8.0,42.0,6.0,1.0,,0.0,0.0,1.0,contest,0
096,10.0,65.0,2.0,beginner,CSE,7.0,0.0,27.0,11.0,9.0,26.0,1.0,0.0,0.0,hackathon,0
097,0.0,30.0,,intermediate,ME,,0.0,69.0,12.0,0.0,23.0,0.0,0.0,0.0,sporting,0
098,3.0,42.0,3.0,beginner,ECM,8.0,0.0,39.0,5.0,10.0,13.0,1.0,0.0,0.67,dance,0
099,0.0,0.0,5.0,expert,MM,5.0,0.0,42.0,11.0,7.0,8.0,0.0,0.0,0.0,hackathon,0
100,0.0,50.0,3.0,beginner,EE,6.0,6.0,36.0,5.0,1.0,14.0,0.0,0.0,0.33,debate,0
101,0.0,43.0,2.0,beginner,EE,0.0,0.0,29.0,1.0,1.0,4.0,0.0,0.0,0.5,dance,0
102,0.0,47.0,1.0,beginner,EE,0.0,0.0,85.0,19.0,0.0,12.0,1.0,1.0,1.0,contest,0
103,6.0,40.0,4.0,beginner,CE,7.0,0.0,45.0,7.0,1.0,18.0,1.0,1.0,0.0,gaming,0
104,0.0,47.0,1.0,intermediate,ECE,14.0,5.0,22.0,14.0,0.0,24.0,0.0,0.0,1.0,singing,0
105,1.0,55.0,5.0,beginner,ECE,0.0,6.0,26.0,3.0,2.0,18.0,0.0,0.0,0.6,other,0
106,0.0,37.0,2.0,expert,ME,5.0,5.0,17.0,2.0,1.0,3.0,0.0,0.0,0.0,sporting,0
107,8.0,79.0,2.0,beginner,ECM,0.0,0.0,63.0,12.0,3.0,27.0,1.0,1.0,0.5,gaming,1
108,1.0,45.0,3.0,beginner,ECE,8.0,7.0,81.0,16.0,7.0,20.0,1.0,0.0,0.33,debate,0
109,1.0,56.0,2.0,expert,ME,0.0,5.0,22.0,15.0,9.0,13.0,1.0,0.0,1.0,contest,0
110,,,2.0,intermediate,ECM,0.0,6.0,24.0,12.0,10.0,26.0,0.0,0.0,0.0,contest,0
111,1.0,36.0,2.0,beginner,ECE,0.0,6.0,80.0,4.0,10.0,27.0,1.0,1.0,1.0,hackathon,1
112,0.0,24.0,4.0,beginner,ECE,5.0,0.0,59.0,15.0,9.0,9.0,0.0,0.0,0.25,hackathon,0
113,0.0,36.0,4.0,intermediate,ECM,8.0,6.0,40.0,0.0,5.0,2.0,0.0,0.0,0.5,debate,0
114,0.0,80.0,5.0,beginner,MM,8.0,6.0,3.0,7.0,,7.0,1.0,0.0,1.0,contest,0
115,0.0,58.0,2.0,beginner,ECE,0.0,6.0,12.0,17.0,4.0,,0.0,0.0,0.0,hackathon,0
116,1.0,60.0,5.0,expert,ECE,8.0,0.0,44.0,8.0,8.0,22.0,0.0,0.0,0.4,hackathon,0
117,5.0,23.0,1.0,expert,ECE,0.0,0.0,41.0,6.0,0.0,20.0,1.0,1.0,1.0,other,0
118,0.0,38.0,2.0,expert,ECE,0.0,8.0,46.0,19.0,1.0,14.0,0.0,0.0,1.0,sporting,1
119,0.0,59.0,2.0,intermediate,PIE,6.0,6.0,57.0,14.0,7.0,6.0,0.0,0.0,1.0,other,0
120,1.0,65.0,5.0,beginner,ECE,7.0,7.0,61.0,9.0,5.0,2.0,0.0,0.0,0.4,contest,0
121,3.0,56.0,5.0,beginner,CE,6.0,5.0,25.0,12.0,6.0,14.0,1.0,0.0,0.2,contest,0
122,0.0,56.0,1.0,beginner,ME,7.0,6.0,61.0,2.0,4.0,8.0,0.0,0.0,0.0,hackathon,0
123,4.0,19.0,2.0,intermediate,ECE,0.0,0.0,74.0,15.0,7.0,25.0,1.0,0.0,1.0,fun,0
124,1.0,33.0,1.0,intermediate,EE,5.0,8.0,73.0,9.0,4.0,,0.0,0.0,1.0,fun,0
125,,,5.0,intermediate,CSE,7.0,5.0,23.0,7.0,1.0,,0.0,0.0,0.0,hackathon,0
126,1.0,0.0,5.0,intermediate,EE,6.0,8.0,47.0,10.0,3.0,12.0,0.0,0.0,1.0,dance,0
127,0.0,51.0,2.0,intermediate,ECM,5.0,0.0,57.0,9.0,5.0,25.0,1.0,1.0,1.0,dance,0
128,1.0,39.0,3.0,beginner,CE,8.0,7.0,40.0,14.0,0.0,24.0,0.0,0.0,0.0,contest,1
129,3.0,76.0,1.0,expert,MM,0.0,6.0,54.0,13.0,4.0,22.0,0.0,0.0,0.0,contest,0
130,1.0,8.0,3.0,intermediate,ECE,0.0,5.0,34.0,12.0,9.0,17.0,0.0,0.0,0.67,fun,0
131,0.0,74.0,2.0,beginner,ECE,6.0,0.0,22.0,13.0,3.0,9.0,0.0,0.0,0.0,gaming,0
132,0.0,61.0,3.0,beginner,CSE,7.0,0.0,23.0,4.0,0.0,0.0,1.0,1.0,0.33,other,0
133,1.0,55.0,3.0,beginner,CSE,8.0,5.0,38.0,17.0,4.0,17.0,1.0,0.0,0.33,fun,0
134,2.0,46.0,2.0,expert,ECM,8.0,6.0,46.0,6.0,6.0,9.0,0.0,0.0,1.0,hackathon,0
135,0.0,60.0,4.0,beginner,ECE,0.0,5.0,59.0,15.0,9.0,29.0,1.0,0.0,0.5,hackathon,1
136,0.0,64.0,4.0,beginner,MM,8.0,8.0,60.0,7.0,10.0,9.0,1.0,1.0,0.0,gaming,0
137,0.0,54.0,4.0,beginner,CSE,0.0,6.0,35.0,9.0,9.0,4.0,0.0,0.0,1.0,sporting,0
138,4.0,40.0,3.0,intermediate,CSE,7.0,6.0,55.0,12.0,10.0,28.0,1.0,1.0,1.0,contest,0
139,2.0,45.0,2.0,beginner,CSE,7.0,8.0,25.0,,7.0,0.0,0.0,0.0,1.0,singing,0
140,0.0,69.0,1.0,intermediate,ECE,6.0,0.0,78.0,7.0,1.0,22.0,0.0,0.0,0.0,contest,0
141,1.0,56.0,3.0,intermediate,ECE,0.0,5.0,27.0,10.0,0.0,0.0,0.0,0.0,1.0,contest,0
142,0.0,59.0,3.0,intermediate,ME,7.0,8.0,29.0,19.0,8.0,19.0,0.0,0.0,0.67,gaming,0
143,1.0,87.0,2.0,expert,ME,7.0,0.0,18.0,11.0,10.0,4.0,1.0,0.0,0.5,singing,0
144,0.0,32.0,2.0,intermediate,ME,8.0,0.0,63.0,68.0,10.0,14.0,1.0,1.0,0.5,hackathon,0
145,0.0,32.0,,beginner,CE,5.0,,21.0,16.0,3.0,27.0,0.0,0.0,0.6,hackathon,0
146,0.0,54.0,3.0,intermediate,ECM,12.0,7.0,10.0,18.0,4.0,7.0,0.0,0.0,0.33,hackathon,0
147,2.0,78.0,5.0,beginner,ECM,5.0,0.0,41.0,12.0,0.0,0.0,0.0,0.0,1.0,sporting,0
148,5.0,45.0,3.0,intermediate,ECE,8.0,5.0,80.0,5.0,8.0,22.0,0.0,0.0,0.67,gaming,0
149,0.0,30.0,4.0,beginner,CSE,0.0,5.0,58.0,72.0,1.0,2.0,0.0,0.0,1.0,other,1
150,2.0,41.0,3.0,beginner,ECE,0.0,0.0,61.0,20.0,5.0,16.0,0.0,0.0,0.0,other,0
151,8.0,45.0,5.0,intermediate,ECE,8.0,7.0,63.0,17.0,8.0,5.0,0.0,0.0,0.8,singing,1
152,3.0,73.0,1.0,intermediate,ECE,8.0,0.0,63.0,17.0,,15.0,1.0,1.0,1.0,hackathon,1
153,1.0,45.0,1.0,expert,ECE,8.0,0.0,24.0,19.0,3.0,8.0,0.0,0.0,1.0,dance,0
154,1.0,48.0,5.0,beginner,ECE,8.0,0.0,58.0,13.0,6.0,24.0,1.0,0.0,0.8,hackathon,0
155,1.0,55.0,1.0,beginner,ECE,5.0,5.0,42.0,18.0,3.0,12.0,0.0,0.0,1.0,dance,0
156,4.0,39.0,4.0,beginner,CE,0.0,7.0,60.0,13.0,0.0,16.0,1.0,0.0,0.0,other,0
157,,,5.0,beginner,ECE,6.0,0.0,49.0,15.0,10.0,25.0,1.0,0.0,1.0,contest,1
158,1.0,46.0,3.0,beginner,MM,0.0,7.0,78.0,2.0,8.0,8.0,0.0,0.0,0.0,hackathon,0
159,20.0,82.0,4.0,beginner,ECE,8.0,8.0,53.0,4.0,8.0,9.0,0.0,0.0,0.25,contest,0
160,0.0,29.0,1.0,beginner,MM,0.0,6.0,76.0,1.0,,9.0,1.0,0.0,1.0,fun,0
161,5.0,51.0,3.0,intermediate,ECE,8.0,0.0,53.0,20.0,8.0,19.0,0.0,0.0,0.67,contest,0
162,0.0,32.0,4.0,beginner,ME,0.0,0.0,2.0,13.0,3.0,13.0,0.0,0.0,1.0,hackathon,0
163,5.0,35.0,5.0,beginner,CSE,8.0,8.0,46.0,0.0,9.0,16.0,1.0,1.0,0.0,contest,0
164,0.0,30.0,2.0,intermediate,CSE,6.0,7.0,68.0,15.0,4.0,3.0,0.0,0.0,0.5,hackathon,0
165,1.0,59.0,4.0,intermediate,ECE,13.0,6.0,9.0,13.0,1.0,25.0,0.0,0.0,1.0,hackathon,0
166,1.0,33.0,3.0,intermediate,ECM,7.0,8.0,42.0,15.0,1.0,29.0,0.0,0.0,0.67,hackathon,0
167,0.0,44.0,4.0,beginner,ECM,0.0,5.0,78.0,19.0,1.0,6.0,1.0,1.0,0.25,other,1
168,0.0,63.0,3.0,beginner,ME,6.0,7.0,30.0,8.0,10.0,,0.0,0.0,0.0,debate,0
169,0.0,61.0,2.0,beginner,PIE,8.0,5.0,58.0,12.0,4.0,28.0,0.0,0.0,0.0,fun,0
170,1.0,27.0,2.0,beginner,CSE,5.0,,29.0,14.0,6.0,18.0,0.0,0.0,0.0,dance,0
171,2.0,62.0,4.0,intermediate,ME,7.0,6.0,15.0,12.0,3.0,11.0,0.0,0.0,1.0,hackathon,0
172,0.0,60.0,4.0,beginner,CSE,5.0,0.0,39.0,16.0,1.0,24.0,0.0,0.0,0.5,dance,0
173,1.0,55.0,4.0,beginner,ECM,5.0,0.0,57.0,5.0,10.0,17.0,0.0,0.0,0.0,hackathon,0
174,0.0,84.0,4.0,expert,ECE,7.0,0.0,26.0,9.0,10.0,8.0,1.0,0.0,0.5,hackathon,0
175,0.0,65.0,1.0,beginner,CE,0.0,0.0,58.0,3.0,9.0,12.0,1.0,0.0,1.0,hackathon,0
176,7.0,83.0,5.0,expert,ME,5.0,6.0,56.0,5.0,9.0,0.0,0.0,0.0,1.0,debate,0
177,4.0,78.0,1.0,expert,EE,7.0,8.0,73.0,10.0,0.0,5.0,1.0,1.0,0.0,hackathon,0
178,2.0,17.0,4.0,beginner,EE,6.0,7.0,51.0,11.0,6.0,17.0,0.0,0.0,0.5,other,0
179,1.0,83.0,5.0,intermediate,ECE,5.0,7.0,47.0,10.0,8.0,3.0,0.0,0.0,1.0,gaming,0
180,2.0,68.0,3.0,beginner,ECE,6.0,0.0,56.0,18.0,6.0,0.0,0.0,0.0,1.0,hackathon,0
181,2.0,69.0,5.0,beginner,CE,8.0,5.0,81.0,8.0,3.0,30.0,1.0,0.0,0.8,hackathon,1
182,0.0,46.0,4.0,intermediate,ME,0.0,5.0,,9.0,2.0,5.0,0.0,0.0,0.75,hackathon,0
183,0.0,71.0,5.0,expert,ECM,0.0,,56.0,19.0,1.0,14.0,0.0,0.0,0.4,contest,0
184,0.0,71.0,5.0,beginner,CE,0.0,5.0,25.0,16.0,8.0,15.0,1.0,0.0,0.0,contest,0
185,1.0,48.0,2.0,beginner,CSE,8.0,7.0,35.0,0.0,9.0,14.0,0.0,0.0,1.0,hackathon,0
186,0.0,63.0,2.0,expert,ECE,5.0,5.0,73.0,10.0,8.0,,0.0,0.0,0.5,hackathon,1
187,1.0,76.0,1.0,expert,CSE,5.0,6.0,53.0,16.0,4.0,20.0,0.0,0.0,0.0,gaming,0
188,5.0,89.0,3.0,intermediate,ECE,6.0,0.0,69.0,2.0,7.0,10.0,1.0,0.0,0.33,contest,1
189,2.0,52.0,5.0,beginner,CE,5.0,6.0,56.0,15.0,9.0,18.0,,0.0,0.8,contest,1
190,6.0,62.0,1.0,expert,EE,6.0,0.0,39.0,18.0,5.0,29.0,1.0,1.0,0.0,contest,0
191,0.0,45.0,3.0,beginner,CSE,6.0,0.0,23.0,4.0,9.0,4.0,1.0,0.0,0.33,hackathon,0
192,1.0,24.0,3.0,expert,CSE,5.0,6.0,56.0,18.0,3.0,5.0,0.0,0.0,0.33,contest,0
193,0.0,42.0,2.0,beginner,MM,7.0,5.0,18.0,15.0,5.0,29.0,0.0,0.0,1.0,dance,0
194,8.0,55.0,4.0,intermediate,ECE,0.0,0.0,82.0,1.0,1.0,15.0,1.0,1.0,0.25,hackathon,0
195,5.0,38.0,2.0,beginner,EE,0.0,0.0,67.0,7.0,10.0,5.0,1.0,1.0,1.0,contest,0
196,0.0,51.0,5.0,beginner,ECE,7.0,0.0,73.0,6.0,6.0,16.0,1.0,1.0,0.0,contest,1
197,3.0,44.0,5.0,expert,MM,7.0,7.0,85.0,15.0,1.0,23.0,1.0,0.0,0.8,hackathon,1
198,,,4.0,beginner,MM,5.0,6.0,75.0,11.0,4.0,8.0,1.0,1.0,0.25,contest,0
199,5.0,40.0,3.0,expert,ECE,6.0,0.0,26.0,7.0,3.0,25.0,0.0,0.0,1.0,contest,0
200,0.0,22.0,2.0,beginner,CSE,8.0,5.0,14.0,12.0,6.0,22.0,0.0,0.0,1.0,hackathon,0
201,4.0,59.0,5.0,beginner,CE,6.0,5.0,43.0,9.0,0.0,19.0,0.0,0.0,0.8,debate,0
202,1.0,57.0,3.0,intermediate,ECE,0.0,5.0,68.0,14.0,3.0,10.0,1.0,0.0,1.0,contest,1
203,5.0,10.0,2.0,beginner,ECE,5.0,5.0,57.0,12.0,0.0,10.0,0.0,0.0,1.0,singing,1
204,0.0,39.0,5.0,expert,ECM,5.0,0.0,80.0,3.0,1.0,9.0,1.0,1.0,0.2,hackathon,0
205,7.0,67.0,1.0,beginner,ECE,5.0,0.0,37.0,15.0,9.0,19.0,0.0,0.0,1.0,hackathon,0
206,3.0,41.0,3.0,beginner,EE,7.0,0.0,61.0,2.0,6.0,0.0,0.0,0.0,1.0,contest,0
207,1.0,66.0,2.0,beginner,EE,7.0,5.0,74.0,6.0,4.0,17.0,1.0,1.0,0.0,singing,1
208,0.0,37.0,1.0,expert,MM,0.0,0.0,98.0,10.0,8.0,27.0,1.0,0.0,0.0,contest,0
209,0.0,61.0,5.0,intermediate,CSE,5.0,8.0,60.0,3.0,10.0,8.0,1.0,1.0,0.8,hackathon,0
210,0.0,56.0,2.0,intermediate,ECE,0.0,0.0,27.0,9.0,6.0,6.0,1.0,1.0,1.0,contest,0
211,,,3.0,beginner,ECM,0.0,8.0,21.0,16.0,2.0,29.0,1.0,1.0,1.0,debate,0
212,4.0,77.0,3.0,beginner,MM,6.0,0.0,75.0,19.0,6.0,22.0,0.0,0.0,0.67,hackathon,1
213,2.0,70.0,2.0,beginner,ECE,0.0,8.0,34.0,9.0,1.0,15.0,0.0,0.0,0.0,hackathon,0
214,3.0,59.0,5.0,beginner,ECE,8.0,0.0,43.0,11.0,8.0,17.0,1.0,0.0,0.4,contest,0
215,1.0,28.0,5.0,beginner,MM,7.0,0.0,29.0,12.0,,2.0,0.0,0.0,0.8,sporting,0
216,2.0,39.0,4.0,beginner,MM,6.0,8.0,79.0,5.0,4.0,21.0,0.0,0.0,0.0,hackathon,0
217,3.0,33.0,2.0,expert,ECE,7.0,0.0,38.0,14.0,7.0,29.0,1.0,0.0,0.0,hackathon,0
218,3.0,62.0,4.0,intermediate,MM,5.0,0.0,18.0,18.0,8.0,25.0,1.0,1.0,0.25,contest,0
219,0.0,40.0,3.0,beginner,CSE,7.0,8.0,22.0,15.0,4.0,0.0,0.0,0.0,0.67,dance,0
220,0.0,32.0,5.0,beginner,MM,0.0,6.0,27.0,20.0,3.0,16.0,0.0,0.0,0.4,hackathon,0
